Index, lambda=1.55[,] [Index]
Type: Re
X [um]
Y [um]
	-3.95843	-3.87529	-3.79215	-3.709	-3.62586	-3.54272	-3.45958	-3.37644	-3.29329	-3.21015	-3.12701	-3.04387	-2.96073	-2.87759	-2.79444	-2.7113	-2.62816	-2.54502	-2.46188	-2.37874	-2.29559	-2.21245	-2.12931	-2.04617	-1.96303	-1.87988	-1.79674	-1.7136	-1.63046	-1.54732	-1.46418	-1.38103	-1.29789	-1.21476	-1.13235	-1.05282	-0.978452	-0.910163	-0.847794	-0.790906	-0.739417	-0.692904	-0.650416	-0.611205	-0.574703	-0.540472	-0.508167	-0.477515	-0.448293	-0.420319	-0.393442	-0.367536	-0.342491	-0.318217	-0.294634	-0.271673	-0.249272	-0.227379	-0.205947	-0.184931	-0.164295	-0.144004	-0.124026	-0.104333	-0.0848975	-0.0656961	-0.0467057	-0.0279053	-0.00927503	0.00860224	0.0256565	0.0425536	0.0595789	0.0770305	0.0952556	0.114699	0.13597	0.159958	0.1883	0.222473	0.260749	0.300028	0.339309	0.378589	0.41787	0.45715	0.496431	0.535712	0.574877	0.611904	0.643697	0.669814	0.691795	0.710973	0.72822	0.744104	0.759006	0.773203	0.786901	0.800267	0.813443	0.83	0.845939	0.858679	0.87529	0.901632	0.935622	0.970519	1.00059	1.02155	1.03744	1.05412	1.07279	1.09257	1.114	1.1379	1.16575	1.20064	1.24914	1.31669	1.39574	1.47631	1.55688	1.63744	1.71801	1.79858	1.87915	1.95972
-3.59744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-3.4498	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-3.30217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-3.15453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-3.00689	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.85925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.71161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.56413	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.42205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.29591	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.19045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.10365	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-2.03135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.96887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.91332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.86288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.81633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.77284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.7318	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.69272	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.65526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.61913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.5841	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.54996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.51654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.48385	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.45175	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.42001	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.38848	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.35702	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
-1.32549	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.16933	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	3.25842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
